"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"Á¤¿Õµ¿","¿ùÆò±Õ","","56","50","66","59","70","42","35","28","45","40","50","50","54","55","56","56","49","41","32","30","29**","43","74","56","82","69","85","58","70","37","33","31","35","47","55","55","54","46","54","49","42","42","26","21","24","38","43","42","40","51","79","46","64","40","29","26","21","32",
"½ÃÈ­»ê´Ü","¿ùÆò±Õ","","73","66","82","71","79","49","42","32","45","40","51","57","62","63","62","60","55","45","33","31","29","42","74","57","81","70","89","55","69","37","34","36","36","48","54","54","54","51","57","49","42","42","27","32","28","46","67*","0","","59","90","54","71","46","34","27","20","36",
"´ë¾ßµ¿","¿ùÆò±Õ","","58","52","67","61","71","43","37","28","43","38","49","49","56","58","58","60","49","41","30","30","27","38","69","52","74","65","79","50","63","35","33","33","31","44","51","48","50","43","44","42","36","37","24","24","22","36","44","42","37*","49","72","46","63","34","27","24","17","30",
"¸ñ°¨µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","50","43","45","27","23","27","45","51","50","45","56","79","48","67","42","30","28","22","36",
"ÀåÇöµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","27","24","25","39","46","46","42","55","82","50","68","40","30","28","21","35",
"¼Ò»çº»µ¿","¿ùÆò±Õ","","50","46","64","66","72","45","38","25","46","35","53","50","53","56","56","56*","54**","52","34","32","30","38","68","49","71","61","79","53","66","43","41","36","34","45","50","50","51","45","52","54","51","55","34","28","26","50","49","46","41","55","84","52","72","51","39","35","19","34",
"³»µ¿","¿ùÆò±Õ","","52","49","68","64","75","42","35","29","40","39","41","61","68","68","70","66*","56**","55","36","35","36","53","85","68","91","78","90","63","68","43","41","37","41","65*","68","59","59","47","61","57","51","49","31","26","32","56","64","61","52","65","94","57","82","59","43","38","25","42",
"Áß2µ¿","¿ùÆò±Õ","","46","41","49*","51","75","47","33","25","48","45","57","58","59","60","57","46","38","30","13","17","25","36","66","50","70","60","77","50","63","36","37","32","31","45","55","50","51","46","55","52","46","50","32","27","23","39","44","38","32**","59*","79","49","68","44","30","27","20","34",
"¿ÀÁ¤µ¿","¿ùÆò±Õ","","64","58","74","70","76","42","30","23","36","31","31","48","54","45","61","67","52","43*","29*","29","27","34","74*","60","84","66","83","62","59*","42**","29**","39","38","55","56","48","52","43","53","65","42*","59*","26","20","21","45","51","51","43","54","80","47","66","38","24","21","14","32",
"±Ý°îµ¿","¿ùÆò±Õ","","55","48","55","52","61","38","35","21","33","28","43","47","46","48","48","55","50","42","29","26","22","30","52","45","68","60","64","40","50","30","31","31","22","31","43","42","40","42","45","47","36","40","23","25","20","32","38","40","41","51","62","31**","69","33","25","23","15","26",
"¿À³²À¾","¿ùÆò±Õ","","63","52","58","55","63","37","31","20","30","28","43","52","53","53","55","56","41","34","26","23","20","28","51","48","73","61","69","40","54","30","28","29","22","30","43","45","41","41","46","48","36","41","23","27","18","31","37","42","39","46","62","41","60","32","24","22","13","23",
"º°³»µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","25","24","26**","","63*","50","64","52","64","40","53","30","28","24","19","31","41","40","39","38","42","43","36","35","17","19","18","35","43","42","38","45","68","46","62","32","22","22","14","26",
"È­µµÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","20*","17","21","31","54","47","72","61","71","45","56","36","34","29","21","35","48","48","42","46","50","52","41","46","19","22","19","35","46","49","42","52","67","47","59","30","24","22","15","27",
"¿ÍºÎÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","55","72","46","67","37","29","25","14","25",
"ÁøÁ¢À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","52","63","43","60","34","29","26","16","28",
"±è·®Àåµ¿","¿ùÆò±Õ","","69","61","77","65","68","46","34","28","40","34","62","66","62","56","51","51","47","38","25","23","24","36","62","50","69","60","66","45","56","34","28","28","24","28","43","46","45","42","49","46","37","41","23","24","20","38","42","44","39","45","68","47","65","38","23**","","16","28",
"¼öÁö","¿ùÆò±Õ","","53","48","60","58","66","40","34","30**","","32","50","59","55","51","57","53","41","33","23","23","21","31","58","43","65","57","70","41","53","28","25","25","21","30","42","44","43","43","47","45","32","35","18","20","18","33","40","43","38","49","68","42","61","32","21","20","14","27",
"±âÈï","¿ùÆò±Õ","","62","54","70","63","73","47","39","27","39","35","50","51","56","55","56","57","46","40","31","26","24","33","59","42","65","","55**","42","54","30","26","27","24","33","46","48","47","46","49","46","34","38","20","22","20","35","44","45","40","48","69","44","61","32","21","20","15","27",
"¸ðÇöÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","32","27","30","24","35","50","55","52","49","54","50","35","40","21","23","20","39","51","57","44","54","75","49","63","34","23","21","15","31",
"ÀÌµ¿À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","32","26","29","25","36","51","55","55","51","57","51","35","37","20","23","22","41","49","53","45","54","72","49","63","33","22","22","17","34",
"¹é¾Ï¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","36","29","32","26","40","52","53","49","49","53","47","36","37","20","22","23","44","51","51","46","51","69","46","62","33","22","22","17","36",
"»ç¿ìµ¿","¿ùÆò±Õ","","75","68","88","74","77","46","37","26","52","49","63","66","58","60","63","56","48","40","22","20","22","36","63","51","74","58","75","46","59","25","29","19","34","49","56","55","53","46","56","54","43","44","28","29","36**","49","57","58","54","63","87","57","75","49","38","29","16","31",
"°íÃÌÀ¾","¿ùÆò±Õ","","77","68","87","84","92","58","49","31","50","46","66","64","54","53","56","50","44","31","15*","24","23","35","63","50","76","60","78","47","55","29","27","27","26","38","46","46","46","40","51","50","39","39","24","23","23","36","44","44","41","51","73","46","62","37","25","22","18**","",
"ÅëÁøÀ¾","¿ùÆò±Õ","","74","66","88","79","87","56","45","38","55","54","68","76","56","57","58","55","43","34","19","18","18","32","60","51","74","55","71","47","61","29","26","27","24","38","45","45","42","","","","","","","","","","","","","","","","","","","","","",
"¿ù°ù¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","36","32","19","20","21","35","43","44","39","48","71","44","64","35","25","23","17","31",
"ÇÑ°­½Åµµ½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","52","42","42","28","27","28","47","55","54","47","58","84","52","70","43","32","28","23","40",
"¿À»êµ¿","¿ùÆò±Õ","","57","51","69","60","69","49","47","28","40","34","44","39","50","53","54","54","47","41","31","34","29","43","71","52","76","65","77","50","54","26","27","28","24","31","44","41","43","40","45","41","33","38","19","21","21","37","41","39","35","46","72","46","70","43","25","27","17","29",
"½ÅÀåµ¿","¿ùÆò±Õ","","65","58","72","61","63","43","40","26","37","35","52","62","66","66","62","62","46","39","31","27","24","34","66","58","88","75","78","39","49","25","24","25","18","27","43","43","46","43","45","41","30","32","17","20","17","33","43","45","39","49","65","44","61","32","21","20","11","26",
"¹Ì»ç","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","34*","32","46","47","59","74","54","76","45","36","34","20","29",
"³²¾çÀ¾","¿ùÆò±Õ","","71","66","86","73","78","49","35","26","45","41","58","64","65","61","57","56","45","37","18","21","28","41","71","55","73","62","79","50","56","29","30","28","26","40","48","44","47","41","50","47","40","41","24","25","25","40","45","44","40","51","76","48","65","37","29","27","19","32",
"Çâ³²","¿ùÆò±Õ","","67","62","84","78","85","58","43","33","55","48","64","63","68","63","63","59","51","46","30","24","23","36","69","49","72","62","76","48","61","34","29","26","28","41","51","50","50","46","53","49","43","44","27","26","29","44","49","47","43","56","79","50","70","44","28","27","22","36",
"µ¿Åºµ¿","¿ùÆò±Õ","","63","54","76","67","75","42","35","26","37","34","45","43","52","58","59","59","47","36","28","26","23","26","51","44","64","58","68","40","51","30","34","33","27","33","44","51","58","61**","","42*","38","43","23","23","23","36","41","41","37","47","72","46","66","38","24","23","16","29",
"¿ìÁ¤À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","30","44","75","48","69","59","77","51","65","39","38","37","37","47","50","47","47","43","49","44","42","42","28","27","29","43","45","41","39","51","82","48","71","47","31","31","24","37",
"Ã»°èµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","27","39","64","46","74","64","78","49","62","38","34","30","25","32","43","40","40","39","45","42","38","46","25","28","20","29","38","37","33","44","68","42","62","38","22","24","14","26",
"»õ¼Öµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","19","20","19","37","43","47","46","54","76","42","59","29","22","20","15","23*",
"ºÀ´ãÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26","27","47","54","55","44","58","81","52","71","43","28","27","19","35",
"¼­½Å¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","31","45","46","44","41","54","83","50","70","43","32","27","21","37",
"¹é¼®À¾","¿ùÆò±Õ","","63","58","70","65","71","46","33","21","32**","42","62","72","72","66","57","49","45","37","16","14","21","40","66","60","81","59","69","39","52","26","24","22","22","34","43","43","41","37","45","45","33","35","20","17","19","38","49","46","41","49","66","41","57","31","23","21","16","29",
"°íÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","65","55","52","46","39","21","20","27","41","74","59","86","64","71","40","53","29","26","26","24","41","51","42","41","37","43","47","36","37","18","17","19","34","45","45","38","48","63","40","53","31","22","19","10","26",
"º¸»êµ¿","¿ùÆò±Õ","","72","61","69","65","70","47","42","27**","","35","56","61","58","62","64","60","44","34","16","17","21","29","58","52","74","57","68","42","51","28","24","25","21","33","47","48","45","41","49","50","34","36","18","18","16","26","36","42","35","45","57","37","48","26","19","16","12","23",
"ºÀ»êµ¿","¿ùÆò±Õ","","66","62","81","68","73","49","37","28","41","42","59","59","67","59","54","59","52","53","37","23*","20","36","72","51","75","68","78","47","58","30","23","26","22","37","53","48","47","44","49","46","34","34","17","18","19","40","44","45","41","49","73","42","58","29","17","18","13","29",
"°øµµÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","51","37","36","20","22","23","45","51","50","46","55","80","48","65","35","22","22","16","34",
"Á×»ê¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","22","26","26","51","54","57","50","57","78","50","68","37","24","25","21","38",
"Ã¢Àüµ¿","¿ùÆò±Õ","","74","64","76","67","72","44","30","23","42","39","60","59","63","58","62","61","49","42","28","21","23","33","61","53","77","64","70","44","55","32","25","24","19","31","42","46","40","41","45","42","32","37","21","22","21","36","42","46","40","46","64","44","58","31","17","22","15","29",
"ÀåÈ£¿øÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","71","76","48","59","36","23","24","23","39","50","49","47","45","46","44","38","41","18","20","20","37","39","41","38","46","64","43","57","34","20","20","15","28",
"ºÎ¹ßÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55","52","42","49","24","26","27","43","56","56","49","57","77","54","70","42","27","28","22","39",
"±ÝÃÌµ¿","¿ùÆò±Õ","","61","52","66","61","70","43","36","26","42","41","50","58","55","62","57","57","46","37","25","26","26","36","63","51","76","60","73","46","61","31","30","30","29","45","53","52","51","46","55","51","40","41","26","26","25","43","50","50","47","57","79","48","68","38","29","26","17","34",
"¿îÁ¤","¿ùÆò±Õ","","69","58","69","65","77","47","37","28","45","44","54","55","54","59","54","55","44","35","24","25","26","38","62","49","77","59","70","44","61","32","31","31","30","45","54","48","50","43","51","50","39","38","24","24","24","42","51","49","47","55","78","47","66","37","29","25","18","35",
"ÆÄÁÖÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","45","32","32","19","19","17","34","40","44","41","50","65","40","54","27","21","20","14","26",
"½ÅÀ¾µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","61","55","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"¼±´Üµ¿","¿ùÆò±Õ","","70","57","67","53","56","36","37","21","33","36","51","62","59","58","55","47","36","30","22","20","19","32","58","61","91","71","73","42","51","28","30","28","25","38","58","62","60","52","50","51","38","41","23","25","22","40","53","61","51","52","59","37","48","27","22","21","14","30",
"ÀÏµ¿¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","54","37","31","23","21","19","28","51","50","79","64","66","38","43","24","24","25","21","31","46","50","52","50","49","46","32","35","19","22","17","34","42","50","37","42","49","32","42","22","15","16","8","18",
"¿©ÁÖ","¿ùÆò±Õ","","73","69","83","73","78","49","36","28","41","38","58","55","60","57","59","54","40","38","29","19","25","34","58","54","78","67","71","43","57","35","20","19","23","","","","","","","","","","","","","","","","","","","","","","","","","",
"Áß¾Óµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","49","49","49","46","49","47","36","41","17","19","20","40","46*","51","43","49","63","46","60","36**","","23","19","32",
"´ë½Å¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","47","38","43","21","23","24","37","47","46","40","47","63","47","59","35","22","23","18","31",
"°¡³²À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","54","61","79","59","73","46","31","34","29","47",
"¿¬Ãµ","¿ùÆò±Õ","","66","56","67","61","57","30","25","13","32","31","52","56","51","44","53","45","26","17","6","11","15","19","41","38","55","46","57","36","43","24","23","21","18","29","39","40","36","30","40","43","29","31","17","20","17","27","35","36","34","47","58","40","47","27","24","22","16","22",
"°¡ÆòÀ¾","¿ùÆò±Õ","","75","69","73","56","60","29","26","12","24","20","39*","59","49","45","55","51","35","26*","15**","12*","14","20","35","34","58","45","50","28","32","20","19","20","16","26","35","38","36","35","38","40","27","33","16","16","12","26","33","38","35","41","50","36","47","25","19","17","14**","",
"¼³¾Ç¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","20","22","18","34","43","45","41","50","58","42","54","29","22","23","16","26",
"¾çÆòÀ¾","¿ùÆò±Õ","","61","55","61","54","63","42","36","22","30","28","49","48","51","52","51","55","40","35","30","23","21","27","46","43","70","60","66","38","49","30","26","28","20","29","40","42","41","41","","","","","20","21","20","37","47","52","46","53","66","46","58","32","23","22","17","30",
"¿ë¹®¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","45","34","40","21","23","19","36","44","47","42","48","59","50","64","32","22","20*","","",
"¾ç±¸À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","60*","47","57","40","45","27","23","25","19","25","35","37","33","34","33","36","24","31","14","15","14","25","24**","33**","34","40","49","37","44","20","16","17","12","17",
"»ó¸®","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","28","45","41","49","35","43","25","22","24","23","27","28","27","23","28","32","34","27","33","14","16","19","28","22**","25","28","32","49","36","38","17","14","17","12","14",
"Á¤¼±À¾»ç¹«¼Ò","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","49","44","48","32","39","26","27","26","20","29","37","41","36","40","39","42","33","39","12**","12","15","26","33","37","42","43","56","40","52","26","19","19","14","17",
"È¾¼ºÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","43","66","57","75","42","51","32","25","26","20","28","41","46","42","43","42","45","29","35","15","18","14","30","38","41","40","44","55","39","54","25","16","17","12","22",
"Áß¾Ó·Î","¿ùÆò±Õ","","64","56","58","55","65","41","31","19","30","27","47","49","54","56","49","57","36","29","24","19","18","25","43","48","72","59","65","40","48","31","26","28","20","31","46","46","43","40","40","43","29","36","17","14**","0","0","37","39","36","40","51","38","53","26","21","21","12","21",
"¼®»çµ¿","¿ùÆò±Õ","","","57","62","53","59","39","32","20","32","29","50","55","60","64","52","58","41","33","27","22","21","29","45","50","77","65","68","39","49","30","25","26","20","31","44","48","47","44","43","43","33","40","19","21","18","33","36","42**","44","47","59","43","59","29","23","22","15","",
"½Å»ç¿ìµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","16","17","15","30","39","46","40","43","55","40","52","24","17","18","12","21",
"¿ÁÃµµ¿","¿ùÆò±Õ","","48","52","62","55","61","38","33","29","41","39","37","29","33","37","37","49","47","37","32","31","24","17**","46","30","41","42","51","36","47","32","29","28","25","29*","","30","25","32","36","38","32","42","14**","17","27","31","32","30","32","39","55","45","50","28","21","20","15","21",
"Áß¾Óµ¿","¿ùÆò±Õ","","78","70","74","65","60","40","28","15","30","27","52","58","58","37","41","54","45","45","32","26","28","30**","63*","56","79","71","80","52","59","41","35","37","27","26","39","38","49","46","32","33","26","30","15","20","18","33","40","43","39","44","58","42","57","30","23","23","15","25",
"¸í·ûµ¿","¿ùÆò±Õ","","77","67","65","62","67","43","33","23","36","31","55","56","59","58","56","63","45","38","31","22","24","34","59","56","","69","74","48","56","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"³²¹®µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"¹®¸·À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","23","41","40","60","55","57","33","42","28","25","25","17","26","35","38","38","38","38","39","29","35","17","25","17","29","35","39","35","40","47","35","48","27","19","21","15","24",
"¹Ý°îµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","27","19","31","42*","43","43","41","43","48*","","0","17","24","18","32","38","43","41","45","54","39","54","30","23","23","15","26",
"ÁöÁ¤¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18",
"Ãµ°îµ¿","¿ùÆò±Õ","","35","36","47","49","58","41","36","22*","29**","20","29","27","31","36","38","53","43","36","30","28","21","25","38","31","41","43","49","38","45","30","26","25","19","25","30*","24","21","28","30","32","27","30","16","22","21","25","26**","25**","28","32","45","38","38","23","20","22","12","14",
"³²¾çµ¿","¿ùÆò±Õ","","35","37","50","49","57","44","41","29","30**","19","29","29","32","36","35","47","40","33","28","23","19","22","36","31","40","43","48","35","41","30","25","24","20","25","26","25","22","28","30","32","28","32","16","22","21","24","23","19","23","28","41","34","35","22","16","18","12","15",
"ÆòÃ¢À¾","¿ùÆò±Õ","","","","","","","","","","","","","","47","44","43","51","35","28","20","13","28","29","45","41","62","56","65","43","47","33","29","29","24","31","40","43","39","41","41","44","34","40","22","22","26","29","38","44","44","45","58","41","","","","","","",
"¾ç¾çÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","41","38","45","35","43","26","22","22","17","25","27","26","23","28","32","34","23","32","14","15","17","25","21**","26","27","33","46","35","38","17","14","15","10","15",
"¼ÓÃÊ½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","49*","46","53","43","48","29","25","28","25","32","31","31","25","32","37","41","33","40","","","","","","","","","","","","","","","","",
"±ÝÈ£µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","26","32","41*","33**","32","32","53","40","41","22","18","20","13","15",
"¿µ¿ùÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","66","58","65","41","46","30","28","30","21","28","37","37","40","41","41","41","33","40","21","24","17","27","32","35","35","38","49","34","45","25","18","19","14","19",
"°¥¸»À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","67","51","62","39","49","27","26","20","20","29","39","40","36","34","41","44","32","38","19","19","18","30","39","43","36","43","58","41","54","29","22","20","15","24",
"È«ÃµÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","59","64","33","38","21","17","23","20","29","43","51","50","47","48","48","32","37","18","19","21","34","35**","49","45","47","54","40","51","25","","20*","14","20",
"È­Ãµ±º","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","46","56","35","40","25","23","24","19","23","30","33","32","34","35","36","24","29","15","16","14","25","24**","33","34","39","47","34","40","21","17","17","12","18",
"ÅÂ¹é½Ã","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","41","50","36","42","28","31","31","25","31","38","36","33","34","36","40","32","35","13**","14","15","23","25","26","","","","","","","","","","",
"È²Áöµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","32","46","35","37","21","13","13","8","13",
"ÀÎÁ¦À¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32*","43","25","22","24","15","21","28","31","27","30","29","34","24","31","13","14","13","23","27","32","33","36","45","36","48","21","17","18","11","15",
"±«»êÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","57","63","36","41","30","20","27","20","32","47","40","38","36","40","42","29","32","18","20","20","32","38","40","38","41","56","37","49","33","20","19","15","25",
"°¨¹°¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","16","18","19","32","40","46","43","46","57","39","50","30","18","21","17","27",
"À½¼ºÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","64","69","42","49","33","26","26","21","31","50","46","44","41","44","44","30","33","18","21","21","38","45","48","48","47","63","41","53","30","16","19","15","25",
"¼ÒÀÌ¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","20","22","23","36","43","45","42","47","61","38","50","27","14","16","12","28",
"¼ÛÁ¤µ¿","¿ùÆò±Õ","","59","52","61","59","61","43","27","21","41","41","58","52","61","54","55","60","43","37","28","24","27","41","71","53","69","66","67","47","53","38","25","27","29","40","50","48","48","46","46","42","39","0","24","31","34","49","51","49","48","53","76","49","66","41","22*","28","25","45",
"»çÃµµ¿","¿ùÆò±Õ","","58","53","66","62","63","46","30","18","37","37","56","53","62","53","58","63","51","46","30","26","26","45","79","56","76","71","75","50","58","50","24","26","24","35","49","48","50","45","47","49","39","39","22","29","31","47","51","53","49","55","75","49","64","36","16","19","19","39",
"¹®È­µ¿","¿ùÆò±Õ","","58","50","61","59","64","45","32","18","36","33","55","52","63","55","54","59","46","39","30","24","23","37","72","56","75","70","71","43","50","34","25","26","22","32","","","","","","","","","","","","","","","","","","","","","","","","",
"¿ë´ãµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","31","23","23","","","","","","","","","","","","","","","","","","43","42","33","36","19","19","19","35","37","40","42","47","65","42","59","31","15","17","16*","32",
"¿ë¾Ïµ¿","¿ùÆò±Õ","","51","44","49","42","44","35","26","19","30","30","43","41","47","44","40","47","35","37","","","","33","57","45","69","66","68","40","49","36","24","27","24","33*","44**","49","51","47","46","51","35","36","21","26","24","42","46","49","49","55","66","45","56","31","19","24","21","40",
"¿ÀÃ¢À¾","¿ùÆò±Õ","","56","47","64","61","65","49","42","26","41","35","51","47","58","50","50","54","48","43","24","22","21","33","63","48","65","61","67","45","53","33","22","21","18","28","40","38","38","37","39","41","33","35","18","17*","22","38","41","41","41","45","64","40","24**","","14","17","12","27",
"»ê³²µ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","67","70","43","51","35","25","24","22","33","46","47","48","45","45","43","34","36","15","15","25","42","46","46","48","52","71","40","55","33","13","14","18","37",
"°¡´ö¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","17","19","21","36","42","46","44","49","65","43","56","33","17","20","17","29",
"¿À¼ÛÀ¾","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","66","72","46","56","39","26","28","27","40","50","51","50","50","48","45","40","41","20","20","22","43","48","48","46","50","73","45","62","40","20","20","14","33",
"È£¾Ïµ¿","¿ùÆò±Õ","","48","42","47","49","56","39","27","22","30","27","43","40","41","54","50","55","47","37","42","30","36","54","71","55","68","54","59","37","47","","21","22","19","28","44","44","45","42","45","45","38","41","17","19","21","38","44","46","45","48","64","44","56","34","18","22","14","27",
"Ä¥±Ýµ¿","¿ùÆò±Õ","","63","68","65","59","61","44","26","","40","38","60","57","63","60","59","64","51","39","31","26","29","42","70","60","81","64","72","44","52","40","26","27","26","40","55","53","54","50","54","52","38","39","18","19","22","41","45","47","44","48","64","44","56","34","18","17","15","31",
"Áß¾ÓÅ¾¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","46","36","39","21","23","17","30","37","41","39","41","55","38","55","29","22","22","17","27",
"»ì¹Ì¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","44","33","36","20","24","20","31","39","42","41","43","53","33","48","28","20","22","16","24",
"Àå¶ôµ¿","¿ùÆò±Õ","","56","52","54","49","52","32","22","15","30","29","51","48","52","50","49","54","40","34","27","22","21","36","65","56","70","60","66","45","50","30","21","25","21","32","50","49","43","39","38","33*","28**","0","19","22","23","43","47","53","51","52","71","47","64","37","27","26","21","34",
"¿µÃµµ¿","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","22","24","40","43","47","46","48","65","46","60","35","23","26","21","33",
"Ã»Ç³¸é","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","14","14","27","28","30","32","34","46","30","42","26","15","14","11","20",
