"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"ÃµÈ£´ë·Î","¿ùÆò±Õ","","53","47","65","55","61","45","43","29","43","41","51","59","63","61","61","54","47","41**","29","25","19**","40**","55","44","44","63","74","45","56","34","33","33","27","35","47","52","49","47","49","47","38","42","24","26","23","41","54","52","45","55","73","48","69","39","28","28","20","33",
"¸¶Æ÷±¸","¿ùÆò±Õ","","51","45","62","55","59","37","34","19","29","25","33","45","52","53","56","57","48","42","21","20","23","35","63","50","73","61","77","50","65","36","25","23","16**","43**","41","40","41","37","42","41","32","34","20","22","19","31","38","36","33","44","62","39","56","31","24","21","15","27",
"°£¼ºÀ¾","¿ùÆò±Õ","","39","37","38","47","52","29","24","19","30","24","37","34","38","35","36","50","39","30","22","20","18","23","30","26","43*","","","","40","19","17","19","16","26","32","30","25","31","35","41","28","36","15","14","18","33","31","36","37","45","54","41","45","21","18","16","12","19",
"°­³²´ë·Î","¿ùÆò±Õ","","67","61","80","74","77","51","44","30","45","37","55","61","63","64","63","62","49","40","24","26","25","34","64","50","50","65","79","56","64","35","25","21","20","24*","50**","47","46","43","48","46","37","37","23","20","18","36","44","46","40","50","70","46","62","35","21","20","15","29",
"ÀÎÁ¦(DMZ)","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","29","29","33","38","60*","40","44","21","15","14","9","18",
"¿µµîÆ÷±¸","¿ùÆò±Õ","","53","49","70","62","71","46","37","26","41","36","48","54","57","60","59","58","53","48","30","31","31","41","54","47","70","60","76","52","64","37","26","24","22","30","36","35","41","39","42","40","32","36","22","24","20","33","41","39","35","46","66","39","57","33","25","22","16","28",
"°í¼º(DMZ)","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","31","33","40","59","43","42","20","15","17","11","18",
"ºÏÆò¸é","¿ùÆò±Õ","","56","51","42","54","59","38","27","22","31","30","50","50","54","53","42","52","30","22","15","13","15","21","38","32","50","45","48","31","35","21","18","21","16","24","28","33","28","34","33","36","26","31","15","17","17","25","28","32","34","34","46","38","51","28","20","20","16","20",
"µ¿ÀÛ±¸","¿ùÆò±Õ","","47","41","54","49","52","38","37","24","33","32","45","51","52","53","50","47","42","37","28","25","21","29","53","44","64","59","68","39","48","29","30","30","29","35","44","46","50","48","51","49","39","39","25","27","24","38","44","44","40","51","69","44","64","36","27","25","17","29",
"Ä¡¾Ç»ê","¿ùÆò±Õ","","63","61","40","62","62","40","30","25","37","33*","","","","45","42","32","23","21","11","11","16","22","40","35","59","50","58","34","41","24","19","19","14","25","33","34","33","35","38","40","27","32","14","15","16","30","35","41","39","43","54","39","46","24","13","15","12","22",
